Transaction_ID,Customer_ID,Transaction_Amount,Transaction_Time_Hour,Location,Card_Type,Fraud_Flag
1,4174,11204,18,Delhi,Credit,0
2,4507,94998,2,Delhi,Debit,0
3,1860,21391,13,Delhi,Debit,0
4,2294,97604,16,Chennai,Credit,0
5,2130,74731,12,Chennai,Debit,0
6,2095,46380,8,Chennai,Credit,0
7,4772,87809,0,Chennai,Debit,0
8,4092,68466,16,Bangalore,Credit,0
9,2638,86857,15,Chennai,Credit,0
10,3169,33363,17,Chennai,Credit,0
11,1466,46950,1,Chennai,Credit,0
12,2238,78890,13,Hyderabad,Debit,0
13,1330,34745,21,Hyderabad,Debit,0
14,2482,30275,22,Hyderabad,Debit,1
15,3135,86122,16,Mumbai,Credit,0
16,4444,96417,2,Bangalore,Debit,0
17,4171,49206,1,Delhi,Credit,0
18,3919,77259,7,Chennai,Credit,0
19,4735,87503,1,Hyderabad,Debit,0
20,1130,27879,1,Bangalore,Debit,0
21,2685,80958,8,Chennai,Credit,0
22,4380,25988,19,Mumbai,Credit,0
23,1769,59214,20,Delhi,Debit,0
24,3391,54580,5,Chennai,Debit,1
25,2515,68249,11,Delhi,Debit,0
26,4485,60332,8,Chennai,Debit,0
27,3853,47851,6,Mumbai,Debit,0
28,3433,9515,11,Bangalore,Credit,1
29,2215,3376,4,Delhi,Credit,0
30,1955,3709,15,Delhi,Credit,0
31,3324,60339,4,Bangalore,Debit,0
32,2184,27644,11,Delhi,Credit,0
33,1459,4813,23,Hyderabad,Debit,0
34,4385,88707,19,Bangalore,Debit,0
35,1021,10878,8,Mumbai,Debit,0
36,3300,47638,22,Chennai,Credit,0
37,1747,11271,6,Chennai,Credit,0
38,3904,11261,18,Bangalore,Credit,0
39,4632,13619,19,Hyderabad,Credit,0
40,1474,96944,22,Mumbai,Debit,0
41,2082,37910,10,Chennai,Debit,1
42,3558,71608,20,Chennai,Credit,0
43,4753,45387,11,Hyderabad,Credit,0
44,3047,52361,2,Delhi,Debit,0
45,4547,13565,16,Bangalore,Credit,0
46,3747,71745,6,Hyderabad,Credit,0
47,1975,87277,21,Hyderabad,Debit,0
48,2806,24954,9,Hyderabad,Credit,0
49,1189,59985,22,Hyderabad,Credit,0
50,4005,43840,14,Delhi,Credit,0
51,3734,68630,1,Mumbai,Debit,0
52,4005,75198,12,Hyderabad,Credit,0
53,1562,5686,3,Hyderabad,Credit,0
54,2899,77179,17,Bangalore,Debit,0
55,4638,2942,23,Chennai,Debit,0
56,2267,21722,22,Delhi,Debit,0
57,3879,5862,0,Hyderabad,Debit,0
58,2528,96671,1,Mumbai,Debit,0
59,4202,704,1,Mumbai,Debit,0
60,4556,54683,3,Mumbai,Debit,0
61,4890,17193,2,Bangalore,Credit,0
62,1646,55984,16,Mumbai,Debit,0
63,3068,67384,13,Bangalore,Debit,0
64,3888,29137,1,Delhi,Debit,0
65,3214,11668,15,Mumbai,Credit,0
66,2297,8496,10,Chennai,Credit,0
67,3435,87232,12,Hyderabad,Debit,0
